	TBE07Jun07	TBE13Jun07	TBE27Jun07	TBE02Jul07	TBE12Jul07	TBE25Jul07	TBE31Jul07	TBE09Aug07	TBE20Aug07	TBE27Aug07	TBE17Sep07	TBE01Oct07	TBE16Oct07	TBE05Nov07	TBE14Nov07	TBE30Apr08	TBE22May08	TBE29May08	TBE13Jun08	TBE24Jun08	TBE01Jul08	TBE08Jul08	TBE15Jul08	TBE22Jul08	TBE29Jul08	TBE05Aug08	TBE12Aug08	TBE19Aug08	TBE25Aug08	TBE09Sep08	TBE20Sep08	TBE04Oct08	TBE23Oct08	TBE29May09	TBE03Jun09	TBE08Jun09	TBE23Jun09	TBE29Jun09	TBE07Jul09	TBE13Jul09	TBE21Jul09	TBE27Jul09	TBE03Aug09	TBE11Aug09	TBE18Aug09
TE01295|TBL_comb48_EPIDRAFT_1001893	0.210739	1.86481	9.6122	8.85001	3.88733	0.809161	1.20766	2.45337	2.51895	6.59177	10.5843	0.287396	2.72828	2.97772	1.27794	0	0.034717	0	0.125077	5.96763	3.63084	0.186115	1.98808	0.0318222	8.6137	1.85919	0.677448	0.919734	2.26233	1.69048	2.61643	1.70747	9.59311	12.6079	9.72871	0.597543	8.56296	5.01502	9.12496	9.55948	0.369799	0.218774	1.00638	1.7591	2.6498
TE01295|TBL_comb48_EPIDRAFT_1002222	0.429877	1.94984	9.67103	9.26965	4.27187	0.985329	1.20679	2.37696	2.47139	6.31064	11.3763	0.40779	3.0524	3.43405	1.32032	0.0212348	0.0885358	0.0154799	0.162928	7.33795	3.64982	0.116744	1.43756	0.0682248	7.48508	1.85915	0.507519	0.985638	2.33548	1.8706	3.06551	2.31536	10.2636	11.6781	10.4503	0.556876	9.77625	4.53944	11.6906	9.94571	0.435105	0.288629	1.26964	1.82145	2.24673
TE01295|TBL_comb48_EPIDRAFT_1002249	0.230488	2.03398	10.112	10.3644	4.67078	0.994516	0.939327	2.77595	2.71022	6.97748	10.1911	0.364887	2.52993	3.03639	1.12279	0.0675902	0.0386433	0	0.282258	7.52484	3.56149	0.234492	1.40466	0.0537864	9.28889	2.09572	0.423352	1.06434	2.92181	1.72883	3.22127	2.51562	10.3685	11.5648	8.84878	1.01624	9.78993	4.89115	11.4778	9.59185	0.360515	0.26583	0.974714	1.87729	2.50023
TE01295|TBL_comb48_EPIDRAFT_1002285	0.233789	2.03055	12.2515	10.0486	4.25573	0.90714	1.43611	1.91776	2.97447	7.24239	9.55821	0.363769	2.67508	2.93348	1.18553	0.0156058	0.0277136	0	0.192024	6.45445	4.16815	0.238147	1.6743	0.110034	9.92567	2.2072	0.444573	1.25484	2.53025	1.62051	3.95167	3.24865	10.9568	10.8586	9.16128	0.39652	9.15026	4.96553	11.2476	8.49262	0.338434	0.159185	1.26531	1.76543	2.77199
TE01295|TBL_comb48_EPIDRAFT_1002352	0.263774	2.56082	12.3382	10.0786	3.69772	1.12785	1.28343	3.0445	2.76293	8.24668	10.242	0.435725	2.97125	3.67185	1.32875	0	0.0156397	0	0.107946	7.01462	3.49062	0.163722	1.84286	0.152962	9.39163	2.16664	0.610261	1.25066	2.595	1.93459	3.7912	3.19076	11.0987	12.4756	11.7197	0.845534	11.0109	4.79118	11.9369	10.659	0.485783	0.212289	0.98742	2.21866	2.68872
TE01295|TBL_comb48_EPIDRAFT_1002477	0.27022	2.13258	10.3612	9.84914	3.90576	0.930963	1.04156	2.12327	2.72952	5.52386	10.5517	0.391555	3.10828	3.3228	1.79139	0.0121922	0.0543819	0	0.193057	5.99815	3.27335	0.0903542	1.68928	0.0812525	8.30676	1.80916	0.317077	1.14627	2.94442	1.88356	3.42279	1.93955	12.7647	10.6754	10.0139	0.626737	9.17339	4.04696	11.7955	8.63881	0.224424	0.253348	0.932579	1.70619	2.22081
TE01295|TBL_comb48_EPIDRAFT_1002707	0.221772	1.4305	7.31287	7.259	3.65678	0.755325	1.23953	2.03909	2.73636	6.00287	8.32726	0.346829	2.87426	3.54942	1.48774	0.0194224	0.0231732	0.0188154	0.249662	5.79408	3.35365	0.116185	1.23713	0.0950972	6.8362	1.24738	0.250802	0.855043	2.47074	1.55648	3.25008	2.10277	9.81265	10.6471	9.8876	0.376078	7.47905	3.89571	9.07295	7.26187	0.302163	0.169959	0.825672	0.993492	1.89703
TE01295|TBL_comb48_EPIDRAFT_1002725	0.292098	2.48276	11.3854	11.0135	3.74754	0.891219	1.27979	2.15473	2.7194	7.65869	11.1977	0.479407	2.7289	3.32363	1.31875	0.0100967	0.024983	0	0.185126	7.51597	3.88617	0.124044	2.17752	0.0744862	9.16101	1.78947	0.432038	1.2806	2.43246	1.90081	3.7263	2.79637	10.7334	11.1698	10.2846	0.711117	8.88559	5.415	12.9224	10.0884	0.410881	0.295131	1.08372	1.78685	2.39348
TE01295|TBL_comb48_EPIDRAFT_1002806	0.455506	3.02116	11.6558	11.7373	5.54075	1.29279	1.77768	2.85164	3.33718	8.5588	13.0289	0.59249	3.6087	4.32019	1.87212	0.0139466	0.118688	0	0.0990476	7.85154	4.97207	0.464348	2.42042	0.0889698	10.5389	2.40328	0.465523	1.21776	2.86043	2.36155	5.00156	2.77501	17.1054	13.8329	13.4028	0.788789	11.9517	6.36345	14.381	11.7809	0.528076	0.2555	1.50737	2.17279	3.13328
TE01295|TBL_comb48_EPIDRAFT_1002866	0.295568	2.25182	12.0543	11.2993	4.67707	0.981278	1.19622	2.27035	3.07889	7.31551	12.617	0.289711	3.72572	3.33858	1.19835	0.0972161	0.0527751	0	0.125779	7.88774	3.98039	0.199103	2.06382	0.0718242	10.8817	2.22248	0.376833	1.09005	2.99314	2.05988	3.86661	3.48537	13.1402	13.0195	11.6028	0.593384	11.4442	5.37374	13.7601	11.7634	0.343583	0.244359	1.10124	1.94577	3.01045
TE01295|TBL_comb48_EPIDRAFT_1002890	0.216583	1.82475	10.0573	8.96037	3.09593	0.863031	1.01896	2.17544	2.80198	6.07483	10.2098	0.405989	2.76282	3.08803	1.161	0.0395909	0.013424	0	0.0769366	7.15271	3.59257	0.257395	1.87113	0.0617001	8.81522	2.006	0.365664	1.01826	2.4513	2.03142	4.24075	2.4395	11.3636	11.2606	9.79157	0.808144	8.07683	5.04757	12.2828	9.78761	0.31331	0.255576	1.05894	1.79649	2.45753
TE01295|TBL_comb48_EPIDRAFT_1002914	0.277709	1.77825	9.57017	8.25497	4.48475	0.967015	0.90599	2.16705	2.44018	6.56606	10.6388	0.311272	2.9164	3.38249	1.36823	0.0330439	0	0	0.17257	6.66566	2.98953	0.146469	1.67074	0.0464704	8.18264	1.76591	0.442594	1.0125	2.19526	1.42987	4.02501	2.83251	9.69753	10.7232	9.56744	0.812034	9.03864	4.44068	12.4215	8.46232	0.384261	0.223915	0.761348	1.92516	2.35094
TE01295|TBL_comb48_EPIDRAFT_1002930	0.35269	2.28032	11.8464	11.0029	4.77082	1.07197	1.45216	2.50085	3.26084	7.70563	10.8011	0.452226	3.3849	3.47254	1.99804	0	0.027186	0.0290744	0.253313	7.18192	3.79239	0.405935	2.07037	0	9.70718	1.89164	0.64519	1.1152	2.49202	2.25024	3.97888	3.25831	12.6231	12.3788	10.165	0.810555	9.71904	4.21742	13.2273	9.88307	0.434968	0.175905	0.999288	1.87165	2.99501
