"","Verrucomicrobiales_2582580521","Verrucomicrobia_2582580523","Puniceicoccales_2582580524","Opitutae_2582580546","Verrucomicrobia_2582580559","Verrucomicrobiales_2582580573","Verrucomicrobiales_2582580593","Spartobacteria_2582580607"
"COG0491",2,3,1,4,1,1,4,2
"COG0492",1,1,1,1,1,1,1,1
"COG0493",1,0,1,1,2,0,0,1
"COG0494",1,0,0,0,0,2,2,2
"COG0495",0,0,0,1,0,0,0,1
"COG0496",0,0,1,1,0,0,0,0
"COG0497",0,0,1,1,1,1,1,0
"COG0498",1,1,1,1,0,0,1,1
"COG0499",1,1,0,0,1,0,0,1
"COG0500",0,0,0,0,0,0,0,1
"COG0501",2,1,1,0,0,1,0,0
"COG0502",0,1,0,0,1,1,1,2
"COG0503",1,1,0,0,0,0,1,1
"COG0504",1,1,1,1,0,1,0,1
"COG0505",1,1,1,1,1,1,1,0
"COG0506",0,0,0,0,0,0,0,0
"COG0507",0,0,1,0,0,0,0,1
"COG0508",0,2,2,2,0,1,3,4
"COG0509",1,1,1,1,0,0,0,1
"COG0510",0,1,0,0,0,1,0,0
"COG0511",0,2,1,0,0,1,0,1
"COG0512",1,1,1,1,0,1,1,1
"COG0513",0,4,2,2,1,2,1,3
"COG0514",0,0,0,0,0,0,0,1
"COG0515",2,6,0,0,4,0,8,4
"COG0516",0,1,2,1,0,1,0,1
"COG0517",1,0,0,0,0,0,1,0
"COG0518",0,0,0,0,0,0,0,1
"COG0519",0,1,1,0,0,1,1,1
"COG0520",1,1,1,0,0,0,0,2
"COG0521",0,0,0,0,0,0,1,2
"COG0522",1,1,1,0,1,0,1,1
"COG0523",0,0,0,0,0,0,0,3
"COG0524",2,2,1,2,2,2,2,5
"COG0525",1,1,1,1,0,1,0,0
"COG0526",2,0,2,1,0,1,3,2
"COG0527",0,1,1,1,1,0,1,2
"COG0528",0,1,1,2,2,1,1,1
"COG0529",1,1,0,0,0,0,0,0
"COG0530",1,0,0,0,0,1,0,0
"COG0531",0,0,0,0,0,0,2,2
"COG0532",1,1,1,1,0,1,1,1
"COG0533",1,1,1,1,0,0,1,1
"COG0534",2,1,1,1,0,1,1,0
"COG0535",0,0,0,0,1,0,0,2
"COG0536",1,1,1,1,0,1,1,1
"COG0537",1,1,2,2,1,1,0,0
"COG0538",1,0,0,1,0,0,0,1
"COG0539",0,1,1,1,2,1,1,1
"COG0540",1,0,1,1,1,1,0,1
"COG0541",1,0,1,1,0,2,1,1
"COG0542",1,2,1,2,2,1,1,2
"COG0543",0,0,0,0,1,0,0,0
"COG0544",1,1,1,1,1,1,1,1
"COG0545",1,1,1,2,0,1,1,1
"COG0546",3,3,2,1,2,4,2,2
"COG0547",0,0,1,1,0,0,0,1
"COG0548",1,1,2,2,0,1,2,3
"COG0549",0,0,0,0,0,0,0,0
"COG0550",0,1,1,1,0,0,1,1
"COG0551",0,0,0,0,0,0,0,0
"COG0552",1,1,0,1,0,0,0,1
"COG0553",0,1,0,1,0,2,3,2
"COG0554",0,0,0,0,0,0,0,0
"COG0555",0,0,0,0,0,0,1,1
"COG0556",1,0,1,1,0,1,1,0
"COG0557",0,1,0,0,0,1,1,0
"COG0558",1,2,1,1,0,0,2,3
"COG0559",1,0,0,0,0,0,0,1
"COG0560",2,3,1,0,0,0,1,0
"COG0561",1,1,0,0,0,0,0,1
"COG0562",1,1,0,0,0,0,0,1
"COG0563",1,2,1,1,1,2,1,0
"COG0564",1,2,1,0,1,2,4,2
"COG0565",0,0,0,0,1,0,0,0
"COG0566",0,0,2,0,2,0,1,0
"COG0567",0,1,1,1,0,0,1,1
"COG0568",1,0,3,2,1,1,2,2
"COG0569",0,0,0,0,0,0,1,0
"COG0571",1,1,0,0,1,1,1,1
"COG0572",0,0,0,0,1,0,0,0
"COG0573",1,0,0,0,1,0,1,1
"COG0574",1,1,0,0,1,1,1,1
"COG0575",0,0,0,0,1,0,0,1
"COG0576",0,1,0,1,0,1,0,1
"COG0577",0,0,1,1,0,1,2,1
"COG0578",0,0,0,0,0,0,0,0
"COG0579",0,0,0,0,0,0,0,2
"COG0580",0,2,1,2,0,1,1,1
"COG0581",1,1,1,0,1,0,1,1
"COG0582",0,0,0,0,0,0,0,0
"COG0583",3,1,2,2,0,0,2,1
"COG0584",0,0,1,1,0,0,1,0
"COG0585",0,0,0,0,0,0,1,0
"COG0586",1,1,2,4,1,1,1,1
"COG0587",1,1,0,0,0,0,1,2
"COG0588",0,0,0,0,0,0,0,0
"COG0589",1,1,0,0,1,0,2,1
"COG0590",2,2,1,1,1,1,0,1
"COG0591",1,2,1,0,0,2,2,2
"COG0592",1,1,1,1,1,0,1,1
"COG0593",1,1,1,1,1,1,1,2
"COG0594",1,1,0,0,0,1,1,1
"COG0595",0,0,0,0,0,0,0,0
"COG0596",1,3,3,3,0,1,1,1
"COG0597",0,1,1,0,2,0,1,1
"COG0598",0,1,0,1,0,0,0,1
"COG0599",0,0,0,0,0,0,0,0
"COG0600",1,0,1,1,0,0,0,0
"COG0601",1,2,3,2,1,0,1,2
"COG0602",0,1,1,1,1,0,1,1
"COG0603",0,0,1,1,2,1,1,0
"COG0604",2,0,0,0,0,2,0,3
"COG0605",1,1,1,1,0,2,1,2
"COG0606",1,1,1,1,0,0,0,1
"COG0607",5,4,0,0,0,1,3,6
"COG0608",1,1,0,0,0,1,1,0
"COG0609",0,0,1,1,0,0,0,0
"COG0610",0,1,0,0,0,0,0,0
"COG0611",1,0,1,1,0,0,0,1
"COG0612",3,3,0,1,1,3,2,4
"COG0613",0,0,0,0,1,0,0,1
"COG0614",0,0,1,1,0,0,0,0
"COG0615",0,0,0,0,0,0,0,0
"COG0616",0,0,1,1,1,0,1,1
"COG0617",1,1,0,0,1,1,1,1
"COG0618",1,0,1,1,0,1,0,1
"COG0619",0,0,0,0,1,0,0,0
"COG0620",0,0,0,0,0,0,2,0
"COG0621",3,2,1,1,0,2,1,2
"COG0622",0,1,1,0,0,1,1,2
"COG0623",0,0,1,1,1,0,0,0
"COG0624",0,2,0,1,0,2,1,0
